id,neighbourhood,district,property_type,room_type,accommodates,n_bathrooms,bedrooms,beds,price,wifi,kitchen,parking,balcony,bbq,washer,host_email,host_phone,host_work_email,longitude,latitude
4854453,Moabit Ost,Mitte,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,89.0,1,1,1,0,0,1,1,1,1,13.34464,52.52113
11216682,südliche Luisenstadt,Friedrichshain-Kreuzberg,Private room in condo,Private room,2,2.0,1.0,1.0,40.0,1,1,0,0,0,1,1,1,0,13.42135,52.49612
4839695,Moabit West,Mitte,Private room in rental unit,Private room,2,1.0,1.0,1.0,25.0,1,1,0,0,0,1,1,1,0,13.32656,52.53203
11224095,Kantstraße,Charlottenburg-Wilm.,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,50.0,1,1,0,0,0,1,1,1,0,13.30306,52.50812
18013828,Rixdorf,Neukölln,Private room in rental unit,Private room,2,0.0,1.0,1.0,30.0,1,1,1,0,0,1,1,1,0,13.44528,52.47268
44007588,Karl-Marx-Allee-Süd,Friedrichshain-Kreuzberg,Entire loft,Entire home/apt,2,1.0,1.0,1.0,125.0,1,1,1,1,0,1,1,1,0,13.45185,52.51308
11225984,Südliche Friedrichstadt,Friedrichshain-Kreuzberg,Private room in rental unit,Private room,2,0.0,1.0,2.0,30.0,1,1,1,0,0,1,1,1,0,13.41445,52.49728
46631816,Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,Entire condo,Entire home/apt,3,1.0,1.0,1.0,300.0,1,1,1,1,0,0,0,1,0,13.45152,52.50942
18984858,Reuterstraße,Neukölln,Private room in rental unit,Private room,1,1.0,1.0,1.0,22.0,1,1,0,0,0,1,1,1,0,13.44059,52.48267
6592920,Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,Entire rental unit,Entire home/apt,4,2.5,2.0,2.0,125.0,1,1,0,0,0,1,1,1,0,13.46447,52.50528
11244833,Prenzlauer Berg Süd,Pankow,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,90.0,1,1,1,1,0,1,1,1,0,13.43682,52.53332
13742468,Helmholtzplatz,Pankow,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,59.0,1,1,1,0,0,0,1,1,0,13.42379,52.53923
11252620,Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,Private room in rental unit,Private room,2,0.0,1.0,2.0,60.0,1,1,0,0,0,1,1,1,0,13.41177,52.49228
11251067,Frankfurter Allee Nord,Friedrichshain-Kreuzberg,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,30.0,1,1,0,0,0,0,1,1,0,13.47368,52.5155
